dataset,k,n_problems,n_subsets,accuracy,tie_rate,tie_lower_accuracy,tie_upper_accuracy
all,1,800,8,0.82125,0.0,0.82125,0.82125
all,2,800,28,0.8354464285714286,0.038214285714285715,0.8216517857142857,0.8489285714285714
all,4,800,70,0.8535892857142858,0.014196428571428572,0.8502321428571429,0.8580714285714286
all,8,800,1,0.86125,0.01125,0.86125,0.86375
gsm8k,1,400,8,0.960625,0.0,0.960625,0.960625
gsm8k,2,400,28,0.9597321428571429,0.039017857142857146,0.9454464285714286,0.9758035714285714
gsm8k,4,400,70,0.974642857142857,0.007285714285714285,0.9726071428571429,0.9769642857142857
gsm8k,8,400,1,0.9775,0.0025,0.9775,0.9775
math,1,400,8,0.681875,0.0,0.681875,0.681875
math,2,400,28,0.7111607142857143,0.03741071428571428,0.697857142857143,0.7220535714285714
math,4,400,70,0.7325357142857143,0.02110714285714286,0.7278571428571429,0.7391785714285715
math,8,400,1,0.745,0.02,0.745,0.75
