dataset,k,n_problems,n_subsets,accuracy,tie_rate,tie_lower_accuracy,tie_upper_accuracy
all,1,800,8,0.61765625,0.0,0.61765625,0.61765625
all,2,800,28,0.6388392857142857,0.08709821428571429,0.6126339285714285,0.6678125
all,4,800,70,0.6750892857142857,0.02875,0.6683035714285714,0.6883571428571429
all,8,800,1,0.7,0.015,0.695,0.705
gsm8k,1,400,8,0.8565625,0.0,0.8565625,0.8565625
gsm8k,2,400,28,0.8523214285714286,0.1658035714285714,0.8042857142857143,0.9088392857142857
gsm8k,4,400,70,0.8920714285714285,0.05078571428571428,0.8821071428571429,0.9168928571428572
gsm8k,8,400,1,0.915,0.025,0.9075,0.9225
math,1,400,8,0.37875,0.0,0.37875,0.37875
math,2,400,28,0.4253571428571428,0.008392857142857143,0.42098214285714286,0.4267857142857143
math,4,400,70,0.4581071428571428,0.0067142857142857134,0.4545,0.45982142857142855
math,8,400,1,0.485,0.005,0.4825,0.4875
