setting,dataset,n,medium_acc,long_acc,helpful_ml_rate,long_harm_rate,routed,accuracy,avg_budget_tokens,budget_savings_vs_long_pct,strategy,random_accuracy_same_fraction,gain_over_random
strict,all,800.0,0.61375,0.82625,0.2125,0.0,,,,,,,
strict,gsm8k,400.0,0.85,0.97,0.12,0.0,,,,,,,
strict,math,400.0,0.3775,0.6825,0.305,0.0,,,,,,,
relaxed,all,800.0,0.6175,0.83375,0.21625,0.0,,,,,,,
relaxed,gsm8k,400.0,0.85,0.97,0.12,0.0,,,,,,,
relaxed,math,400.0,0.385,0.6975,0.3125,0.0,,,,,,,
strict,,,,,,,0.3925,0.82625,534.72,30.374999999999996,rule_hit_max_tokens,0.6969399999999999,0.12931000000000015
relaxed,,,,,,,0.3925,0.83375,534.72,30.374999999999996,rule_hit_max_tokens,0.70223,0.13151999999999997
strict,,,,,,,0.375,0.82,528.0,31.25,rule_no_boxed,0.6932625,0.12673749999999995
relaxed,,,,,,,0.375,0.8275,528.0,31.25,rule_no_boxed,0.6985399999999999,0.12896000000000007
strict,,,,,,,0.3925,0.82625,534.72,30.374999999999996,rule_hit_max_or_no_boxed,0.6969399999999999,0.12931000000000015
relaxed,,,,,,,0.3925,0.83375,534.72,30.374999999999996,rule_hit_max_or_no_boxed,0.70223,0.13151999999999997
