assignment,selector_indices,n_eligible,repair_count,repair_rate
0,"0,1,2,3",23,1,0.043478260869565216
1,"0,1,2,4",21,0,0.0
2,"0,1,2,5",22,0,0.0
3,"0,1,2,6",24,0,0.0
4,"0,1,2,7",22,1,0.045454545454545456
5,"0,1,3,4",23,0,0.0
6,"0,1,3,5",24,0,0.0
7,"0,1,3,6",26,0,0.0
8,"0,1,3,7",24,1,0.041666666666666664
9,"0,1,4,5",22,0,0.0
10,"0,1,4,6",23,0,0.0
11,"0,1,4,7",23,0,0.0
12,"0,1,5,6",24,0,0.0
13,"0,1,5,7",23,0,0.0
14,"0,1,6,7",24,0,0.0
15,"0,2,3,4",21,0,0.0
16,"0,2,3,5",22,0,0.0
17,"0,2,3,6",23,0,0.0
18,"0,2,3,7",22,1,0.045454545454545456
19,"0,2,4,5",21,0,0.0
20,"0,2,4,6",22,0,0.0
21,"0,2,4,7",22,0,0.0
22,"0,2,5,6",24,0,0.0
23,"0,2,5,7",23,0,0.0
24,"0,2,6,7",24,0,0.0
25,"0,3,4,5",22,0,0.0
26,"0,3,4,6",22,0,0.0
27,"0,3,4,7",23,0,0.0
28,"0,3,5,6",23,0,0.0
29,"0,3,5,7",23,0,0.0
30,"0,3,6,7",23,0,0.0
31,"0,4,5,6",24,1,0.041666666666666664
32,"0,4,5,7",25,2,0.08
33,"0,4,6,7",24,1,0.041666666666666664
34,"0,5,6,7",25,2,0.08
35,"1,2,3,4",23,2,0.08695652173913043
36,"1,2,3,5",23,1,0.043478260869565216
37,"1,2,3,6",26,1,0.038461538461538464
38,"1,2,3,7",23,0,0.0
39,"1,2,4,5",22,1,0.045454545454545456
40,"1,2,4,6",25,1,0.04
41,"1,2,4,7",22,1,0.045454545454545456
42,"1,2,5,6",25,1,0.04
43,"1,2,5,7",21,0,0.0
44,"1,2,6,7",24,0,0.0
45,"1,3,4,5",23,1,0.043478260869565216
46,"1,3,4,6",25,1,0.04
47,"1,3,4,7",24,1,0.041666666666666664
48,"1,3,5,6",25,1,0.04
49,"1,3,5,7",23,0,0.0
50,"1,3,6,7",25,0,0.0
51,"1,4,5,6",24,2,0.08333333333333333
52,"1,4,5,7",22,0,0.0
53,"1,4,6,7",24,0,0.0
54,"1,5,6,7",23,0,0.0
55,"2,3,4,5",21,1,0.047619047619047616
56,"2,3,4,6",23,1,0.043478260869565216
57,"2,3,4,7",22,1,0.045454545454545456
58,"2,3,5,6",23,1,0.043478260869565216
59,"2,3,5,7",21,0,0.0
60,"2,3,6,7",23,0,0.0
61,"2,4,5,6",23,1,0.043478260869565216
62,"2,4,5,7",21,0,0.0
63,"2,4,6,7",23,0,0.0
64,"2,5,6,7",23,0,0.0
65,"3,4,5,6",22,1,0.045454545454545456
66,"3,4,5,7",22,0,0.0
67,"3,4,6,7",23,0,0.0
68,"3,5,6,7",23,1,0.043478260869565216
69,"4,5,6,7",23,1,0.043478260869565216
