assignment,selector_indices,n_eligible,repair_count,repair_rate
0,"0,1,2,3",11,0,0.0
1,"0,1,2,4",11,0,0.0
2,"0,1,2,5",11,0,0.0
3,"0,1,2,6",10,0,0.0
4,"0,1,2,7",11,0,0.0
5,"0,1,3,4",12,0,0.0
6,"0,1,3,5",12,0,0.0
7,"0,1,3,6",12,1,0.08333333333333333
8,"0,1,3,7",11,0,0.0
9,"0,1,4,5",12,0,0.0
10,"0,1,4,6",12,1,0.08333333333333333
11,"0,1,4,7",12,1,0.08333333333333333
12,"0,1,5,6",11,0,0.0
13,"0,1,5,7",11,0,0.0
14,"0,1,6,7",11,1,0.09090909090909091
15,"0,2,3,4",12,0,0.0
16,"0,2,3,5",12,0,0.0
17,"0,2,3,6",11,0,0.0
18,"0,2,3,7",12,0,0.0
19,"0,2,4,5",12,0,0.0
20,"0,2,4,6",11,0,0.0
21,"0,2,4,7",12,0,0.0
22,"0,2,5,6",11,0,0.0
23,"0,2,5,7",12,0,0.0
24,"0,2,6,7",11,0,0.0
25,"0,3,4,5",13,0,0.0
26,"0,3,4,6",12,0,0.0
27,"0,3,4,7",12,0,0.0
28,"0,3,5,6",12,0,0.0
29,"0,3,5,7",12,0,0.0
30,"0,3,6,7",11,0,0.0
31,"0,4,5,6",12,0,0.0
32,"0,4,5,7",12,0,0.0
33,"0,4,6,7",12,1,0.08333333333333333
34,"0,5,6,7",11,0,0.0
35,"1,2,3,4",11,0,0.0
36,"1,2,3,5",12,0,0.0
37,"1,2,3,6",11,0,0.0
38,"1,2,3,7",11,0,0.0
39,"1,2,4,5",11,0,0.0
40,"1,2,4,6",10,0,0.0
41,"1,2,4,7",11,0,0.0
42,"1,2,5,6",11,0,0.0
43,"1,2,5,7",11,0,0.0
44,"1,2,6,7",10,0,0.0
45,"1,3,4,5",12,0,0.0
46,"1,3,4,6",11,0,0.0
47,"1,3,4,7",11,0,0.0
48,"1,3,5,6",13,1,0.07692307692307693
49,"1,3,5,7",11,0,0.0
50,"1,3,6,7",11,0,0.0
51,"1,4,5,6",11,0,0.0
52,"1,4,5,7",11,0,0.0
53,"1,4,6,7",11,1,0.09090909090909091
54,"1,5,6,7",10,0,0.0
55,"2,3,4,5",12,0,0.0
56,"2,3,4,6",11,0,0.0
57,"2,3,4,7",12,0,0.0
58,"2,3,5,6",12,0,0.0
59,"2,3,5,7",12,0,0.0
60,"2,3,6,7",11,0,0.0
61,"2,4,5,6",11,0,0.0
62,"2,4,5,7",12,0,0.0
63,"2,4,6,7",11,0,0.0
64,"2,5,6,7",11,0,0.0
65,"3,4,5,6",12,0,0.0
66,"3,4,5,7",12,0,0.0
67,"3,4,6,7",11,0,0.0
68,"3,5,6,7",11,0,0.0
69,"4,5,6,7",11,0,0.0
