contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,561,16,0.0285204991087344,0.0163879366735871,0.04590309484801385,12,19
A_to_B_resampling,all,complete_all_correct,371,0,0.0,0.0,0.009893802401357076,0,0
A_to_B_resampling,gsm8k,complete_plurality_correct,364,8,0.02197802197802198,0.009535188600485899,0.04284461934822377,6,11
A_to_B_resampling,gsm8k,complete_all_correct,263,0,0.0,0.0,0.013928249364834656,0,0
A_to_B_resampling,math,complete_plurality_correct,197,8,0.04060913705583756,0.017692608680475376,0.07844552913631835,6,8
A_to_B_resampling,math,complete_all_correct,108,0,0.0,0.0,0.033579550218654476,0,0
A_to_C_combined,all,complete_plurality_correct,561,16,0.0285204991087344,0.0163879366735871,0.04590309484801385,11,20
A_to_C_combined,all,complete_all_correct,371,0,0.0,0.0,0.009893802401357076,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,364,8,0.02197802197802198,0.009535188600485899,0.04284461934822377,6,11
A_to_C_combined,gsm8k,complete_all_correct,263,0,0.0,0.0,0.013928249364834656,0,0
A_to_C_combined,math,complete_plurality_correct,197,8,0.04060913705583756,0.017692608680475376,0.07844552913631835,5,9
A_to_C_combined,math,complete_all_correct,108,0,0.0,0.0,0.033579550218654476,0,0
B_to_C_tokens,all,complete_plurality_correct,561,0,0.0,0.0,0.006553971125560229,0,7
B_to_C_tokens,all,complete_all_correct,371,0,0.0,0.0,0.009893802401357076,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,364,0,0.0,0.0,0.010083105389156894,0,5
B_to_C_tokens,gsm8k,complete_all_correct,263,0,0.0,0.0,0.013928249364834656,0,0
B_to_C_tokens,math,complete_plurality_correct,197,0,0.0,0.0,0.018551047617369316,0,2
B_to_C_tokens,math,complete_all_correct,108,0,0.0,0.0,0.033579550218654476,0,0
