contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,625,3,0.0048,0.0009909713786849133,0.013963046098982563,2,6
A_to_B_resampling,all,complete_all_correct,589,0,0.0,0.0,0.006243381820787906,0,0
A_to_B_resampling,gsm8k,complete_plurality_correct,385,2,0.005194805194805195,0.0006297353131949155,0.018638523928984525,1,4
A_to_B_resampling,gsm8k,complete_all_correct,365,0,0.0,0.0,0.010055619804412953,0,0
A_to_B_resampling,math,complete_plurality_correct,240,1,0.004166666666666667,0.0001054853026353906,0.022995275839816712,1,2
A_to_B_resampling,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
A_to_C_combined,all,complete_plurality_correct,625,3,0.0048,0.0009909713786849133,0.013963046098982563,2,6
A_to_C_combined,all,complete_all_correct,589,0,0.0,0.0,0.006243381820787906,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,385,2,0.005194805194805195,0.0006297353131949155,0.018638523928984525,1,4
A_to_C_combined,gsm8k,complete_all_correct,365,0,0.0,0.0,0.010055619804412953,0,0
A_to_C_combined,math,complete_plurality_correct,240,1,0.004166666666666667,0.0001054853026353906,0.022995275839816712,1,2
A_to_C_combined,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
B_to_C_tokens,all,complete_plurality_correct,625,0,0.0,0.0,0.0058848233198575345,0,3
B_to_C_tokens,all,complete_all_correct,589,0,0.0,0.0,0.006243381820787906,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,385,0,0.0,0.0,0.00953574871075507,0,2
B_to_C_tokens,gsm8k,complete_all_correct,365,0,0.0,0.0,0.010055619804412953,0,0
B_to_C_tokens,math,complete_plurality_correct,240,0,0.0,0.0,0.015252810401278714,0,1
B_to_C_tokens,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
