model,dataset,definition,outcome,scope,n_seeds,n_problems,numerator_count,denominator_count,estimate,binomial_wilson95_lower,binomial_wilson95_upper,cluster_ci95_lower,cluster_ci95_upper,contrast
qwen,all,strict_all_wrong,samecap_repair_plurality,all_seeds,3,800,0.0,52.0,0.0,0.0,0.0687922361238623,0.0,0.0,
qwen,all,strict_all_wrong,samecap_repair_plurality,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,samecap_repair_plurality,leave_out:314159,2,800,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0,
qwen,all,strict_all_wrong,samecap_repair_plurality,leave_out:271828,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,long_repair_plurality,all_seeds,3,800,0.0,52.0,0.0,0.0,0.0687922361238623,0.0,0.0,
qwen,all,strict_all_wrong,long_repair_plurality,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,long_repair_plurality,leave_out:314159,2,800,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0,
qwen,all,strict_all_wrong,long_repair_plurality,leave_out:271828,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,samecap_repair_any,all_seeds,3,800,3.0,52.0,0.057692307692307696,0.0198141721122706,0.15642511368960757,0.0,0.13636363636363635,
qwen,all,strict_all_wrong,samecap_repair_any,leave_out:42,2,800,2.0,34.0,0.058823529411764705,0.016282655210122732,0.19093606904281,0.0,0.16,
qwen,all,strict_all_wrong,samecap_repair_any,leave_out:314159,2,800,3.0,36.0,0.08333333333333333,0.028748611335993393,0.21826691249272628,0.0,0.1935483870967742,
qwen,all,strict_all_wrong,samecap_repair_any,leave_out:271828,2,800,1.0,34.0,0.029411764705882353,0.0052109062762689395,0.14915573292685927,0.0,0.09523809523809523,
qwen,all,strict_all_wrong,long_repair_any,all_seeds,3,800,5.0,52.0,0.09615384615384616,0.04177435105257249,0.20609630120131628,0.01639344262295082,0.2127659574468085,
qwen,all,strict_all_wrong,long_repair_any,leave_out:42,2,800,3.0,34.0,0.08823529411764706,0.03046594367464857,0.22960486562808868,0.0,0.20689655172413793,
qwen,all,strict_all_wrong,long_repair_any,leave_out:314159,2,800,5.0,36.0,0.1388888888888889,0.06081815009132838,0.286595303893562,0.024390243902439025,0.29411764705882354,
qwen,all,strict_all_wrong,long_repair_any,leave_out:271828,2,800,2.0,34.0,0.058823529411764705,0.016282655210122732,0.19093606904281,0.0,0.15384615384615385,
qwen,all,strict_all_wrong,incremental_plurality_helpful,all_seeds,3,800,0.0,52.0,0.0,0.0,0.0687922361238623,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_helpful,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_helpful,leave_out:314159,2,800,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_helpful,leave_out:271828,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_harmful,all_seeds,3,800,0.0,52.0,0.0,0.0,0.0687922361238623,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_harmful,leave_out:42,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_harmful,leave_out:314159,2,800,0.0,36.0,0.0,0.0,0.09641862859446362,0.0,0.0,
qwen,all,strict_all_wrong,incremental_plurality_harmful,leave_out:271828,2,800,0.0,34.0,0.0,6.938893903907228e-18,0.10151455415332375,0.0,0.0,
qwen,all,strict_all_wrong,incremental_net,all_seeds,3,800,0.0,52.0,0.0,,,0.0,0.0,
qwen,all,strict_all_wrong,incremental_net,leave_out:42,2,800,0.0,34.0,0.0,,,0.0,0.0,
qwen,all,strict_all_wrong,incremental_net,leave_out:314159,2,800,0.0,36.0,0.0,,,0.0,0.0,
qwen,all,strict_all_wrong,incremental_net,leave_out:271828,2,800,0.0,34.0,0.0,,,0.0,0.0,
qwen,all,plurality_wrong,samecap_repair_plurality,all_seeds,3,800,3.0,63.0,0.047619047619047616,0.016326168867995608,0.1309096783790607,0.0,0.11428571428571428,
qwen,all,plurality_wrong,samecap_repair_plurality,leave_out:42,2,800,3.0,42.0,0.07142857142857142,0.024590409873305935,0.19009426801158308,0.0,0.16666666666666666,
qwen,all,plurality_wrong,samecap_repair_plurality,leave_out:314159,2,800,1.0,42.0,0.023809523809523808,0.004215404134432499,0.12321201573766641,0.0,0.0851063829787234,
qwen,all,plurality_wrong,samecap_repair_plurality,leave_out:271828,2,800,2.0,42.0,0.047619047619047616,0.013157524908905593,0.15789852396958837,0.0,0.12767321331151096,
qwen,all,plurality_wrong,long_repair_plurality,all_seeds,3,800,3.0,63.0,0.047619047619047616,0.016326168867995608,0.1309096783790607,0.0,0.11428571428571428,
qwen,all,plurality_wrong,long_repair_plurality,leave_out:42,2,800,3.0,42.0,0.07142857142857142,0.024590409873305935,0.19009426801158308,0.0,0.16666666666666666,
qwen,all,plurality_wrong,long_repair_plurality,leave_out:314159,2,800,1.0,42.0,0.023809523809523808,0.004215404134432499,0.12321201573766641,0.0,0.0851063829787234,
qwen,all,plurality_wrong,long_repair_plurality,leave_out:271828,2,800,2.0,42.0,0.047619047619047616,0.013157524908905593,0.15789852396958837,0.0,0.12767321331151096,
qwen,all,plurality_wrong,samecap_repair_any,all_seeds,3,800,3.0,63.0,0.047619047619047616,0.016326168867995608,0.1309096783790607,0.0,0.10294117647058823,
qwen,all,plurality_wrong,samecap_repair_any,leave_out:42,2,800,2.0,42.0,0.047619047619047616,0.013157524908905593,0.15789852396958837,0.0,0.12244897959183673,
qwen,all,plurality_wrong,samecap_repair_any,leave_out:314159,2,800,3.0,42.0,0.07142857142857142,0.024590409873305935,0.19009426801158308,0.0,0.15555555555555556,
qwen,all,plurality_wrong,samecap_repair_any,leave_out:271828,2,800,1.0,42.0,0.023809523809523808,0.004215404134432499,0.12321201573766641,0.0,0.07692307692307693,
qwen,all,plurality_wrong,long_repair_any,all_seeds,3,800,5.0,63.0,0.07936507936507936,0.03437584717681856,0.1727030985090408,0.014285714285714285,0.16666666666666666,
qwen,all,plurality_wrong,long_repair_any,leave_out:42,2,800,3.0,42.0,0.07142857142857142,0.024590409873305935,0.19009426801158308,0.0,0.16,
qwen,all,plurality_wrong,long_repair_any,leave_out:314159,2,800,5.0,42.0,0.11904761904761904,0.05193803327758237,0.25000390262009675,0.021739130434782608,0.2439159891598914,
qwen,all,plurality_wrong,long_repair_any,leave_out:271828,2,800,2.0,42.0,0.047619047619047616,0.013157524908905593,0.15789852396958837,0.0,0.12121212121212122,
qwen,all,plurality_wrong,incremental_plurality_helpful,all_seeds,3,800,0.0,63.0,0.0,3.469446951953614e-18,0.05747119958885169,0.0,0.0,
qwen,all,plurality_wrong,incremental_plurality_helpful,leave_out:42,2,800,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0,
qwen,all,plurality_wrong,incremental_plurality_helpful,leave_out:314159,2,800,0.0,42.0,0.0,0.0,0.08379879086570388,0.0,0.0,
