contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,554,11,0.019855595667870037,0.009952498278320182,0.03524893544802177,6,13
A_to_B_resampling,all,complete_all_correct,336,0,0.0,0.0,0.010918760737357801,0,0
A_to_B_resampling,gsm8k,complete_plurality_correct,362,5,0.013812154696132596,0.004499575073029343,0.031936979164879,3,5
A_to_B_resampling,gsm8k,complete_all_correct,247,0,0.0,0.0,0.014823764605596158,0,0
A_to_B_resampling,math,complete_plurality_correct,192,6,0.03125,0.011552862320414813,0.06677405097239729,3,8
A_to_B_resampling,math,complete_all_correct,89,0,0.0,0.0,0.04060085754963182,0,0
A_to_C_combined,all,complete_plurality_correct,554,11,0.019855595667870037,0.009952498278320182,0.03524893544802177,6,13
A_to_C_combined,all,complete_all_correct,336,0,0.0,0.0,0.010918760737357801,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,362,5,0.013812154696132596,0.004499575073029343,0.031936979164879,3,5
A_to_C_combined,gsm8k,complete_all_correct,247,0,0.0,0.0,0.014823764605596158,0,0
A_to_C_combined,math,complete_plurality_correct,192,6,0.03125,0.011552862320414813,0.06677405097239729,3,8
A_to_C_combined,math,complete_all_correct,89,0,0.0,0.0,0.04060085754963182,0,0
B_to_C_tokens,all,complete_plurality_correct,554,0,0.0,0.0,0.0066365076380498125,0,7
B_to_C_tokens,all,complete_all_correct,336,0,0.0,0.0,0.010918760737357801,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,362,0,0.0,0.0,0.010138529799725038,0,2
B_to_C_tokens,gsm8k,complete_all_correct,247,0,0.0,0.0,0.014823764605596158,0,0
B_to_C_tokens,math,complete_plurality_correct,192,0,0.0,0.0,0.01902952216877982,0,5
B_to_C_tokens,math,complete_all_correct,89,0,0.0,0.0,0.04060085754963182,0,0
