contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,609,3,0.0049261083743842365,0.0010170363607658627,0.014328153360945988,1,3
A_to_B_resampling,all,complete_all_correct,582,0,0.0,0.0,0.006318236318579426,0,0
A_to_B_resampling,gsm8k,complete_plurality_correct,374,2,0.0053475935828877,0.0006482757572511382,0.019182887108940214,0,2
A_to_B_resampling,gsm8k,complete_all_correct,358,0,0.0,0.0,0.010251226851269139,0,0
A_to_B_resampling,math,complete_plurality_correct,235,1,0.00425531914893617,0.00010772954987988807,0.023479785224255804,1,1
A_to_B_resampling,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
A_to_C_combined,all,complete_plurality_correct,609,3,0.0049261083743842365,0.0010170363607658627,0.014328153360945988,1,3
A_to_C_combined,all,complete_all_correct,582,0,0.0,0.0,0.006318236318579426,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,374,2,0.0053475935828877,0.0006482757572511382,0.019182887108940214,0,2
A_to_C_combined,gsm8k,complete_all_correct,358,0,0.0,0.0,0.010251226851269139,0,0
A_to_C_combined,math,complete_plurality_correct,235,1,0.00425531914893617,0.00010772954987988807,0.023479785224255804,1,1
A_to_C_combined,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
B_to_C_tokens,all,complete_plurality_correct,609,0,0.0,0.0,0.006038965028377564,0,1
B_to_C_tokens,all,complete_all_correct,582,0,0.0,0.0,0.006318236318579426,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,374,0,0.0,0.0,0.009814831098210823,0,1
B_to_C_tokens,gsm8k,complete_all_correct,358,0,0.0,0.0,0.010251226851269139,0,0
B_to_C_tokens,math,complete_plurality_correct,235,0,0.0,0.0,0.015574797968315703,0,0
B_to_C_tokens,math,complete_all_correct,224,0,0.0,0.0,0.016333352162105623,0,0
