model,dataset,definition,outcome,scope,n_seeds,n_problems,numerator_count,denominator_count,estimate,binomial_wilson95_lower,binomial_wilson95_upper,cluster_ci95_lower,cluster_ci95_upper,contrast
r1,all,strict_all_wrong,samecap_repair_plurality,all_seeds,3,800,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0,
r1,all,strict_all_wrong,samecap_repair_plurality,leave_out:42,2,800,0.0,16.0,0.0,0.0,0.19360768053443644,0.0,0.0,
r1,all,strict_all_wrong,samecap_repair_plurality,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,strict_all_wrong,samecap_repair_plurality,leave_out:271828,2,800,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0,
r1,all,strict_all_wrong,long_repair_plurality,all_seeds,3,800,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0,
r1,all,strict_all_wrong,long_repair_plurality,leave_out:42,2,800,0.0,16.0,0.0,0.0,0.19360768053443644,0.0,0.0,
r1,all,strict_all_wrong,long_repair_plurality,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,strict_all_wrong,long_repair_plurality,leave_out:271828,2,800,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0,
r1,all,strict_all_wrong,samecap_repair_any,all_seeds,3,800,2.0,24.0,0.08333333333333333,0.02315881529704336,0.25848802193210674,0.0,0.2857142857142857,
r1,all,strict_all_wrong,samecap_repair_any,leave_out:42,2,800,1.0,16.0,0.0625,0.011119344764642547,0.28328737570298934,0.0,0.23529411764705882,
r1,all,strict_all_wrong,samecap_repair_any,leave_out:314159,2,800,2.0,17.0,0.11764705882352941,0.0328797737637927,0.3433635059488586,0.0,0.375,
r1,all,strict_all_wrong,samecap_repair_any,leave_out:271828,2,800,1.0,15.0,0.06666666666666667,0.011866895493268581,0.2981652987378002,0.0,0.25,
r1,all,strict_all_wrong,long_repair_any,all_seeds,3,800,2.0,24.0,0.08333333333333333,0.02315881529704336,0.25848802193210674,0.0,0.2857142857142857,
r1,all,strict_all_wrong,long_repair_any,leave_out:42,2,800,1.0,16.0,0.0625,0.011119344764642547,0.28328737570298934,0.0,0.23529411764705882,
r1,all,strict_all_wrong,long_repair_any,leave_out:314159,2,800,2.0,17.0,0.11764705882352941,0.0328797737637927,0.3433635059488586,0.0,0.375,
r1,all,strict_all_wrong,long_repair_any,leave_out:271828,2,800,1.0,15.0,0.06666666666666667,0.011866895493268581,0.2981652987378002,0.0,0.25,
r1,all,strict_all_wrong,incremental_plurality_helpful,all_seeds,3,800,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_helpful,leave_out:42,2,800,0.0,16.0,0.0,0.0,0.19360768053443644,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_helpful,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_helpful,leave_out:271828,2,800,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_harmful,all_seeds,3,800,0.0,24.0,0.0,0.0,0.13797620467498012,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_harmful,leave_out:42,2,800,0.0,16.0,0.0,0.0,0.19360768053443644,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_harmful,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,strict_all_wrong,incremental_plurality_harmful,leave_out:271828,2,800,0.0,15.0,0.0,0.0,0.20388330103584854,0.0,0.0,
r1,all,strict_all_wrong,incremental_net,all_seeds,3,800,0.0,24.0,0.0,,,0.0,0.0,
r1,all,strict_all_wrong,incremental_net,leave_out:42,2,800,0.0,16.0,0.0,,,0.0,0.0,
r1,all,strict_all_wrong,incremental_net,leave_out:314159,2,800,0.0,17.0,0.0,,,0.0,0.0,
r1,all,strict_all_wrong,incremental_net,leave_out:271828,2,800,0.0,15.0,0.0,,,0.0,0.0,
r1,all,plurality_wrong,samecap_repair_plurality,all_seeds,3,800,1.0,26.0,0.038461538461538464,0.006821984993543487,0.18892778903034751,0.0,0.15384615384615385,
r1,all,plurality_wrong,samecap_repair_plurality,leave_out:42,2,800,1.0,18.0,0.05555555555555555,0.00987519097830307,0.25757300781872583,0.0,0.21428571428571427,
r1,all,plurality_wrong,samecap_repair_plurality,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,samecap_repair_plurality,leave_out:271828,2,800,1.0,17.0,0.058823529411764705,0.010460400984997592,0.26982030637575394,0.0,0.2222222222222222,
r1,all,plurality_wrong,long_repair_plurality,all_seeds,3,800,1.0,26.0,0.038461538461538464,0.006821984993543487,0.18892778903034751,0.0,0.15384615384615385,
r1,all,plurality_wrong,long_repair_plurality,leave_out:42,2,800,1.0,18.0,0.05555555555555555,0.00987519097830307,0.25757300781872583,0.0,0.21428571428571427,
r1,all,plurality_wrong,long_repair_plurality,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,long_repair_plurality,leave_out:271828,2,800,1.0,17.0,0.058823529411764705,0.010460400984997592,0.26982030637575394,0.0,0.2222222222222222,
r1,all,plurality_wrong,samecap_repair_any,all_seeds,3,800,2.0,26.0,0.07692307692307693,0.021355088472276226,0.24141553771629054,0.0,0.25,
r1,all,plurality_wrong,samecap_repair_any,leave_out:42,2,800,1.0,18.0,0.05555555555555555,0.00987519097830307,0.25757300781872583,0.0,0.18181818181818182,
r1,all,plurality_wrong,samecap_repair_any,leave_out:314159,2,800,2.0,17.0,0.11764705882352941,0.0328797737637927,0.3433635059488586,0.0,0.375,
r1,all,plurality_wrong,samecap_repair_any,leave_out:271828,2,800,1.0,17.0,0.058823529411764705,0.010460400984997592,0.26982030637575394,0.0,0.2,
r1,all,plurality_wrong,long_repair_any,all_seeds,3,800,2.0,26.0,0.07692307692307693,0.021355088472276226,0.24141553771629054,0.0,0.25,
r1,all,plurality_wrong,long_repair_any,leave_out:42,2,800,1.0,18.0,0.05555555555555555,0.00987519097830307,0.25757300781872583,0.0,0.18181818181818182,
r1,all,plurality_wrong,long_repair_any,leave_out:314159,2,800,2.0,17.0,0.11764705882352941,0.0328797737637927,0.3433635059488586,0.0,0.375,
r1,all,plurality_wrong,long_repair_any,leave_out:271828,2,800,1.0,17.0,0.058823529411764705,0.010460400984997592,0.26982030637575394,0.0,0.2,
r1,all,plurality_wrong,incremental_plurality_helpful,all_seeds,3,800,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_helpful,leave_out:42,2,800,0.0,18.0,0.0,0.0,0.17587922364665756,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_helpful,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_helpful,leave_out:271828,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_harmful,all_seeds,3,800,0.0,26.0,0.0,0.0,0.12872892185921525,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_harmful,leave_out:42,2,800,0.0,18.0,0.0,0.0,0.17587922364665756,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_harmful,leave_out:314159,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,incremental_plurality_harmful,leave_out:271828,2,800,0.0,17.0,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,
r1,all,plurality_wrong,incremental_net,all_seeds,3,800,0.0,26.0,0.0,,,0.0,0.0,
r1,all,plurality_wrong,incremental_net,leave_out:42,2,800,0.0,18.0,0.0,,,0.0,0.0,
r1,all,plurality_wrong,incremental_net,leave_out:314159,2,800,0.0,17.0,0.0,,,0.0,0.0,
r1,all,plurality_wrong,incremental_net,leave_out:271828,2,800,0.0,17.0,0.0,,,0.0,0.0,
r1,all,first_chain_wrong,samecap_repair_plurality,all_seeds,3,800,10.0,67.0,0.14925373134328357,0.08314273433779826,0.2534039604590851,0.06153846153846154,0.2708333333333333,
r1,all,first_chain_wrong,samecap_repair_plurality,leave_out:42,2,800,6.0,45.0,0.13333333333333333,0.06257148747568078,0.2617730182617707,0.0425531914893617,0.2553191489361702,
r1,all,first_chain_wrong,samecap_repair_plurality,leave_out:314159,2,800,6.0,45.0,0.13333333333333333,0.06257148747568078,0.2617730182617707,0.04081632653061224,0.2558139534883721,
r1,all,first_chain_wrong,samecap_repair_plurality,leave_out:271828,2,800,8.0,44.0,0.18181818181818182,0.09512805715627728,0.3196055088718467,0.061224489795918366,0.3409090909090909,
r1,all,first_chain_wrong,long_repair_plurality,all_seeds,3,800,9.0,67.0,0.13432835820895522,0.0723109166429549,0.23600372261337027,0.057692307692307696,0.2413793103448276,
r1,all,first_chain_wrong,long_repair_plurality,leave_out:42,2,800,6.0,45.0,0.13333333333333333,0.06257148747568078,0.2617730182617707,0.0425531914893617,0.2553191489361702,
r1,all,first_chain_wrong,long_repair_plurality,leave_out:314159,2,800,5.0,45.0,0.1111111111111111,0.048404717945671874,0.23499096995768576,0.025,0.22448979591836735,
r1,all,first_chain_wrong,long_repair_plurality,leave_out:271828,2,800,7.0,44.0,0.1590909090909091,0.07926677012201253,0.29366205062240613,0.057692307692307696,0.29169207317073137,
r1,all,first_chain_wrong,samecap_repair_any,all_seeds,3,800,16.0,67.0,0.23880597014925373,0.1526813904849293,0.353257637555303,0.12698412698412698,0.3829875886524821,
r1,all,first_chain_wrong,samecap_repair_any,leave_out:42,2,800,10.0,45.0,0.2222222222222222,0.12544685532626398,0.36269292174756285,0.1,0.3726102941176462,
r1,all,first_chain_wrong,samecap_repair_any,leave_out:314159,2,800,11.0,45.0,0.24444444444444444,0.14235479433771722,0.38673380057020346,0.11428571428571428,0.40816326530612246,
r1,all,first_chain_wrong,samecap_repair_any,leave_out:271828,2,800,11.0,44.0,0.25,0.14574213828964885,0.3944056635895914,0.11904761904761904,0.41304347826086957,
r1,all,first_chain_wrong,long_repair_any,all_seeds,3,800,16.0,67.0,0.23880597014925373,0.1526813904849293,0.353257637555303,0.13157894736842105,0.37736897274633113,
r1,all,first_chain_wrong,long_repair_any,leave_out:42,2,800,11.0,45.0,0.24444444444444444,0.14235479433771722,0.38673380057020346,0.11764705882352941,0.40540540540540543,
r1,all,first_chain_wrong,long_repair_any,leave_out:314159,2,800,11.0,45.0,0.24444444444444444,0.14235479433771722,0.38673380057020346,0.11363636363636363,0.40625,
r1,all,first_chain_wrong,long_repair_any,leave_out:271828,2,800,10.0,44.0,0.22727272727272727,0.12841947594917152,0.3699235806463633,0.1111111111111111,0.37209302325581395,
r1,all,first_chain_wrong,incremental_plurality_helpful,all_seeds,3,800,0.0,67.0,0.0,0.0,0.05422613939130177,0.0,0.0,
r1,all,first_chain_wrong,incremental_plurality_helpful,leave_out:42,2,800,0.0,45.0,0.0,6.938893903907228e-18,0.07865159873288832,0.0,0.0,
r1,all,first_chain_wrong,incremental_plurality_helpful,leave_out:314159,2,800,0.0,45.0,0.0,6.938893903907228e-18,0.07865159873288832,0.0,0.0,
r1,all,first_chain_wrong,incremental_plurality_helpful,leave_out:271828,2,800,0.0,44.0,0.0,0.0,0.08029560375848063,0.0,0.0,
r1,all,first_chain_wrong,incremental_plurality_harmful,all_seeds,3,800,1.0,67.0,0.014925373134328358,0.002639571734078895,0.07981862319778105,0.0,0.05,
r1,all,first_chain_wrong,incremental_plurality_harmful,leave_out:42,2,800,0.0,45.0,0.0,6.938893903907228e-18,0.07865159873288832,0.0,0.0,
r1,all,first_chain_wrong,incremental_plurality_harmful,leave_out:314159,2,800,1.0,45.0,0.022222222222222223,0.003933598882833435,0.11566681768414877,0.0,0.07550798258345374,
r1,all,first_chain_wrong,incremental_plurality_harmful,leave_out:271828,2,800,1.0,44.0,0.022727272727272728,0.004023252060053231,0.11807709698213281,0.0,0.075,
r1,all,first_chain_wrong,incremental_net,all_seeds,3,800,-1.0,67.0,-0.014925373134328358,,,-0.05,0.0,
r1,all,first_chain_wrong,incremental_net,leave_out:42,2,800,0.0,45.0,0.0,,,0.0,0.0,
r1,all,first_chain_wrong,incremental_net,leave_out:314159,2,800,-1.0,45.0,-0.022222222222222223,,,-0.07550798258345424,0.0,
r1,all,first_chain_wrong,incremental_net,leave_out:271828,2,800,-1.0,44.0,-0.022727272727272728,,,-0.075,0.0,
r1,gsm8k,strict_all_wrong,samecap_repair_plurality,all_seeds,3,400,0.0,13.0,0.0,0.0,0.2280953723541983,0.0,0.0,
