contrast,dataset,definition,n_eligible,harm_count,harm_rate,ci95_low,ci95_high,certain_harm_count,possible_harm_count
A_to_B_resampling,all,complete_plurality_correct,320,2,0.00625,0.0007578022347384726,0.022393588234234638,1,2
A_to_B_resampling,all,complete_all_correct,318,1,0.0031446540880503146,7.961257912868309e-05,0.01739546631940625,0,1
A_to_B_resampling,gsm8k,complete_plurality_correct,241,2,0.008298755186721992,0.0010066025748985666,0.029654760836859237,1,2
A_to_B_resampling,gsm8k,complete_all_correct,239,1,0.0041841004184100415,0.00010592664035751054,0.023090571481729025,0,1
A_to_B_resampling,math,complete_plurality_correct,79,0,0.0,0.0,0.045621252758611106,0,0
A_to_B_resampling,math,complete_all_correct,79,0,0.0,0.0,0.045621252758611106,0,0
A_to_C_combined,all,complete_plurality_correct,320,0,0.0,0.0,0.011461558388074885,0,0
A_to_C_combined,all,complete_all_correct,318,0,0.0,0.0,0.01153322637073983,0,0
A_to_C_combined,gsm8k,complete_plurality_correct,241,0,0.0,0.0,0.01519000387436258,0,0
A_to_C_combined,gsm8k,complete_all_correct,239,0,0.0,0.0,0.015316138449904697,0,0
A_to_C_combined,math,complete_plurality_correct,79,0,0.0,0.0,0.045621252758611106,0,0
A_to_C_combined,math,complete_all_correct,79,0,0.0,0.0,0.045621252758611106,0,0
B_to_C_tokens,all,complete_plurality_correct,320,0,0.0,0.0,0.011461558388074885,0,0
B_to_C_tokens,all,complete_all_correct,318,0,0.0,0.0,0.01153322637073983,0,0
B_to_C_tokens,gsm8k,complete_plurality_correct,241,0,0.0,0.0,0.01519000387436258,0,0
B_to_C_tokens,gsm8k,complete_all_correct,239,0,0.0,0.0,0.015316138449904697,0,0
B_to_C_tokens,math,complete_plurality_correct,79,0,0.0,0.0,0.045621252758611106,0,0
B_to_C_tokens,math,complete_all_correct,79,0,0.0,0.0,0.045621252758611106,0,0
