model,scope,method,route_fraction,accuracy,gain_vs_random,resume_saving,rerun_saving
qwen,core_3seed,fixed_base,0.0000,0.8646,,0.5000,0.5000
qwen,core_3seed,fixed_extended,1.0000,0.9033,,0.0000,-0.5000
qwen,core_3seed,route_every_cap_hit,0.2033,0.9033,,0.3983,0.2967
qwen,core_3seed,random,0.0000,0.8646,+0.0000,0.5000,0.5000
qwen,core_3seed,cap_hit_rank,0.0000,0.8646,+0.0000,0.5000,0.5000
qwen,core_3seed,learned_logistic,0.0000,0.8646,+0.0000,0.5000,0.5000
qwen,core_3seed,learned_forest,0.0000,0.8646,+0.0000,0.5000,0.5000
qwen,core_3seed,random,0.0500,0.8665,+0.0000,0.4750,0.4500
qwen,core_3seed,cap_hit_rank,0.0500,0.8921,+0.0256,0.4750,0.4500
qwen,core_3seed,learned_logistic,0.0500,0.8879,+0.0214,0.4750,0.4500
qwen,core_3seed,learned_forest,0.0500,0.8908,+0.0243,0.4750,0.4500
qwen,core_3seed,random,0.1000,0.8684,+0.0000,0.4500,0.4000
qwen,core_3seed,cap_hit_rank,0.1000,0.9012,+0.0328,0.4500,0.4000
qwen,core_3seed,learned_logistic,0.1000,0.9012,+0.0328,0.4500,0.4000
qwen,core_3seed,learned_forest,0.1000,0.9000,+0.0316,0.4500,0.4000
qwen,core_3seed,random,0.1500,0.8705,+0.0000,0.4250,0.3500
qwen,core_3seed,cap_hit_rank,0.1500,0.9033,+0.0329,0.4250,0.3500
qwen,core_3seed,learned_logistic,0.1500,0.9029,+0.0324,0.4250,0.3500
qwen,core_3seed,learned_forest,0.1500,0.9029,+0.0324,0.4250,0.3500
qwen,core_3seed,random,0.2000,0.8723,+0.0000,0.4000,0.3000
qwen,core_3seed,cap_hit_rank,0.2000,0.9033,+0.0310,0.4000,0.3000
qwen,core_3seed,learned_logistic,0.2000,0.9033,+0.0310,0.4000,0.3000
qwen,core_3seed,learned_forest,0.2000,0.9033,+0.0310,0.4000,0.3000
qwen,core_3seed,random,0.2500,0.8743,+0.0000,0.3750,0.2500
qwen,core_3seed,cap_hit_rank,0.2500,0.9033,+0.0291,0.3750,0.2500
qwen,core_3seed,learned_logistic,0.2500,0.9033,+0.0291,0.3750,0.2500
qwen,core_3seed,learned_forest,0.2500,0.9033,+0.0291,0.3750,0.2500
qwen,core_3seed,random,0.3000,0.8761,+0.0000,0.3500,0.2000
qwen,core_3seed,cap_hit_rank,0.3000,0.9033,+0.0272,0.3500,0.2000
qwen,core_3seed,learned_logistic,0.3000,0.9033,+0.0272,0.3500,0.2000
qwen,core_3seed,learned_forest,0.3000,0.9033,+0.0272,0.3500,0.2000
qwen,core_3seed,random,0.3500,0.8781,+0.0000,0.3250,0.1500
qwen,core_3seed,cap_hit_rank,0.3500,0.9033,+0.0252,0.3250,0.1500
qwen,core_3seed,learned_logistic,0.3500,0.9033,+0.0252,0.3250,0.1500
qwen,core_3seed,learned_forest,0.3500,0.9033,+0.0252,0.3250,0.1500
qwen,core_3seed,random,0.4000,0.8801,+0.0000,0.3000,0.1000
qwen,core_3seed,cap_hit_rank,0.4000,0.9033,+0.0232,0.3000,0.1000
qwen,core_3seed,learned_logistic,0.4000,0.9033,+0.0232,0.3000,0.1000
qwen,core_3seed,learned_forest,0.4000,0.9033,+0.0232,0.3000,0.1000
qwen,core_3seed,random,0.4500,0.8819,+0.0000,0.2750,0.0500
qwen,core_3seed,cap_hit_rank,0.4500,0.9033,+0.0214,0.2750,0.0500
qwen,core_3seed,learned_logistic,0.4500,0.9033,+0.0214,0.2750,0.0500
qwen,core_3seed,learned_forest,0.4500,0.9033,+0.0214,0.2750,0.0500
qwen,core_3seed,random,0.5000,0.8841,+0.0000,0.2500,0.0000
qwen,core_3seed,cap_hit_rank,0.5000,0.9033,+0.0192,0.2500,0.0000
qwen,core_3seed,learned_logistic,0.5000,0.9033,+0.0192,0.2500,0.0000
qwen,core_3seed,learned_forest,0.5000,0.9033,+0.0192,0.2500,0.0000
qwen,core_3seed,random,0.5500,0.8858,+0.0000,0.2250,-0.0500
qwen,core_3seed,cap_hit_rank,0.5500,0.9033,+0.0175,0.2250,-0.0500
qwen,core_3seed,learned_logistic,0.5500,0.9033,+0.0175,0.2250,-0.0500
qwen,core_3seed,learned_forest,0.5500,0.9033,+0.0175,0.2250,-0.0500
qwen,core_3seed,random,0.6000,0.8878,+0.0000,0.2000,-0.1000
qwen,core_3seed,cap_hit_rank,0.6000,0.9033,+0.0155,0.2000,-0.1000
qwen,core_3seed,learned_logistic,0.6000,0.9033,+0.0155,0.2000,-0.1000
qwen,core_3seed,learned_forest,0.6000,0.9033,+0.0155,0.2000,-0.1000
qwen,core_3seed,random,0.6500,0.8897,+0.0000,0.1750,-0.1500
qwen,core_3seed,cap_hit_rank,0.6500,0.9033,+0.0137,0.1750,-0.1500
qwen,core_3seed,learned_logistic,0.6500,0.9033,+0.0137,0.1750,-0.1500
qwen,core_3seed,learned_forest,0.6500,0.9033,+0.0137,0.1750,-0.1500
qwen,core_3seed,random,0.7000,0.8917,+0.0000,0.1500,-0.2000
qwen,core_3seed,cap_hit_rank,0.7000,0.9033,+0.0116,0.1500,-0.2000
qwen,core_3seed,learned_logistic,0.7000,0.9033,+0.0116,0.1500,-0.2000
qwen,core_3seed,learned_forest,0.7000,0.9033,+0.0116,0.1500,-0.2000
qwen,core_3seed,random,0.7500,0.8937,+0.0000,0.1250,-0.2500
qwen,core_3seed,cap_hit_rank,0.7500,0.9033,+0.0096,0.1250,-0.2500
qwen,core_3seed,learned_logistic,0.7500,0.9033,+0.0096,0.1250,-0.2500
qwen,core_3seed,learned_forest,0.7500,0.9033,+0.0096,0.1250,-0.2500
qwen,core_3seed,random,0.8000,0.8956,+0.0000,0.1000,-0.3000
qwen,core_3seed,cap_hit_rank,0.8000,0.9033,+0.0077,0.1000,-0.3000
qwen,core_3seed,learned_logistic,0.8000,0.9033,+0.0077,0.1000,-0.3000
qwen,core_3seed,learned_forest,0.8000,0.9033,+0.0077,0.1000,-0.3000
qwen,core_3seed,random,0.8500,0.8975,+0.0000,0.0750,-0.3500
qwen,core_3seed,cap_hit_rank,0.8500,0.9033,+0.0059,0.0750,-0.3500
qwen,core_3seed,learned_logistic,0.8500,0.9033,+0.0059,0.0750,-0.3500
qwen,core_3seed,learned_forest,0.8500,0.9033,+0.0059,0.0750,-0.3500
qwen,core_3seed,random,0.9000,0.8995,+0.0000,0.0500,-0.4000
qwen,core_3seed,cap_hit_rank,0.9000,0.9033,+0.0039,0.0500,-0.4000
qwen,core_3seed,learned_logistic,0.9000,0.9033,+0.0039,0.0500,-0.4000
qwen,core_3seed,learned_forest,0.9000,0.9033,+0.0039,0.0500,-0.4000
qwen,core_3seed,random,0.9500,0.9013,+0.0000,0.0250,-0.4500
qwen,core_3seed,cap_hit_rank,0.9500,0.9033,+0.0020,0.0250,-0.4500
qwen,core_3seed,learned_logistic,0.9500,0.9033,+0.0020,0.0250,-0.4500
qwen,core_3seed,learned_forest,0.9500,0.9033,+0.0020,0.0250,-0.4500
qwen,core_3seed,random,1.0000,0.9033,+0.0000,0.0000,-0.5000
